Timestamp,Voltage (V),Power Factor,Grid Supply (kW),Grid Frequency (Hz),Generation Capacity (MW),Power Consumption (kW),Current (A),Reactive Power (kVAR),Temperature (°C),Humidity (%),Transformer Fault,Line Trip Events,Overload Condition,Grid Collapse Events
2010-02-21,328074.59,0.873,3481580.52,49.96,4308.84,3637017.2,7331.91,2032281.79,34.0,24.7,0,0,0,0
2010-02-22,326615.39,0.876,3928527.64,49.75,4060.5,4230114.31,8538.46,2332002.87,31.3,46.6,0,0,0,0
2010-02-23,333058.38,0.826,4301156.43,49.96,4181.84,5104139.62,10705.79,3476983.46,29.9,36.6,0,0,1,0
2010-02-24,335155.0,0.922,3754022.36,49.84,4073.17,4342490.19,8114.17,1824797.83,32.3,35.3,0,0,1,0
2010-02-25,334656.4,0.881,3669933.64,50.12,4498.68,4107898.64,8041.81,2203076.93,28.4,38.1,0,0,1,0
2010-02-26,325803.91,0.82,4090495.24,50.26,3683.78,3853790.84,8331.75,2693347.31,37.3,31.9,0,0,0,0
2010-02-27,328453.94,0.915,4447173.53,49.75,4093.31,4547309.02,8736.44,2006088.17,33.3,26.4,0,0,0,0
2010-02-28,331656.32,0.94,3532273.89,50.34,4113.71,3630369.85,6724.12,1319254.19,31.7,35.5,0,0,0,0
2010-03-01,334877.73,0.942,3939940.87,49.97,3476.57,4695812.63,8593.47,1671495.02,35.1,32.3,0,0,1,0
2010-03-02,327604.13,0.855,3307002.16,49.8,4638.49,3393359.76,6991.57,2055195.58,29.8,38.5,0,0,0,0
2010-03-03,329071.71,0.82,3842719.6,50.15,3777.16,4516518.51,9659.74,3148705.51,28.5,18.7,0,0,1,0
2010-03-04,324468.33,0.878,4013681.87,49.91,4508.71,3985305.68,8078.91,2175267.57,31.6,36.9,0,0,0,0
2010-03-05,324018.97,0.817,3658150.14,49.98,4057.46,3661484.93,7986.6,2585305.13,32.4,28.1,0,0,0,0
2010-03-06,334062.63,0.94,3817203.27,49.92,4816.79,4191844.25,7706.26,1520071.64,33.6,36.5,0,0,0,0
2010-03-07,336781.2,0.828,3436709.29,49.84,3479.31,4147471.19,8591.87,2813695.58,27.6,44.1,0,0,1,0
2010-03-08,329639.95,0.838,4030831.44,50.14,3457.62,4147009.23,8668.31,2701278.55,30.6,29.4,0,0,0,0
2010-03-09,309927.79,0.861,4422277.7,49.69,3547.15,4177105.99,9037.61,2467526.05,22.7,47.0,0,0,0,1
2010-03-10,331808.18,0.857,3561142.45,49.71,4066.65,3182171.58,6457.35,1909456.51,28.5,17.6,0,0,0,0
2010-03-11,326774.4,0.919,3750931.29,50.11,4770.73,4050241.19,7785.07,1735155.47,34.1,50.4,0,0,0,0
2010-03-12,297313.84,0.868,4201018.5,49.6,4796.55,4554298.97,10183.62,2599967.52,34.9,47.4,1,1,0,1
2010-03-13,337690.18,0.826,4484836.29,49.77,2845.02,4320887.34,8947.8,2952936.68,28.6,26.1,0,0,0,0
2010-03-14,329820.87,0.84,3402724.08,50.24,4124.85,3577059.9,7453.6,2309791.1,31.0,26.2,0,0,0,0
2010-03-15,337823.22,0.876,3932486.11,49.76,2393.52,3165900.14,6173.92,1739952.04,32.1,20.1,0,0,0,0
2010-03-16,316901.27,0.822,4113252.33,49.54,4397.52,4162724.15,9224.84,2882687.62,35.2,44.2,0,0,0,0
2010-03-17,334109.51,0.892,3959177.44,50.12,4559.08,3695967.94,7162.03,1875576.67,36.6,31.7,0,0,0,0
2010-03-18,330435.24,0.885,3009283.17,49.94,3979.88,2708601.7,5348.38,1425996.65,32.5,31.0,0,0,0,0
2010-03-19,290990.73,0.907,4200436.0,49.75,4041.99,4644399.19,10157.44,2153694.72,31.2,23.8,0,1,1,1
2010-03-20,330458.8,0.941,4607734.54,49.94,4036.82,4345458.18,8070.99,1567720.6,27.7,53.1,0,0,0,0
2010-03-21,320062.16,0.937,4046664.7,50.05,3607.78,4438980.84,8547.2,1657267.67,32.3,25.3,1,1,0,0
2010-03-22,328901.64,0.942,3587557.58,49.85,4215.85,4196196.33,7820.22,1496256.81,38.2,35.2,0,0,1,0
2010-03-23,331785.56,0.837,3794749.1,50.3,3884.3,3846195.71,7999.07,2517451.51,35.9,37.2,0,0,0,0
2010-03-24,337389.47,0.82,4707965.23,49.7,4465.15,4662709.54,9733.59,3257804.32,32.5,31.0,0,0,0,0
2010-03-25,327408.65,0.845,4363985.02,50.09,3943.19,4401425.83,9181.43,2781547.36,32.9,29.0,0,0,0,0
2010-03-26,325957.53,0.934,4256010.65,50.13,3569.49,3997165.57,7578.12,1525620.48,29.9,31.3,0,0,0,0
2010-03-27,327491.21,0.946,4142565.03,49.85,3232.07,3815823.57,7112.54,1310095.01,30.9,40.7,0,0,0,0
2010-03-28,334577.01,0.929,3735545.16,49.8,3067.97,3307618.12,6144.55,1318682.8,32.4,31.5,0,0,0,0
2010-03-29,302304.52,0.817,3919771.53,50.16,4656.25,4255751.51,9954.36,3009203.56,32.5,51.3,0,1,0,1
2010-03-30,327351.2,0.942,3968830.91,49.8,3771.11,4814982.09,9013.98,1713620.03,35.0,27.2,0,0,1,0
2010-03-31,298157.99,0.864,4219829.73,49.42,4169.29,5288917.64,11860.3,3089072.94,34.9,42.5,1,1,1,1
2010-04-01,330485.39,0.801,4603567.56,50.18,4891.61,3479547.4,7585.12,2597008.41,29.6,52.4,0,0,0,0
2010-04-02,334843.22,0.866,4447335.25,50.01,3718.6,4408618.12,8774.1,2541393.52,25.0,62.2,0,0,0,0
2010-04-03,326489.73,0.807,3432246.26,49.64,3686.26,3057989.14,6701.63,2238506.78,25.1,61.8,0,0,0,0
2010-04-04,328361.69,0.882,4089597.99,50.35,3933.92,4318404.84,8612.87,2312233.9,25.3,59.0,0,0,0,0
2010-04-05,328039.46,0.851,4294705.34,49.89,4014.72,4488674.13,9285.65,2772592.12,28.7,72.8,0,0,0,0
2010-04-06,294819.3,0.871,4247544.13,49.66,4943.78,5533416.9,12440.88,3120868.72,21.9,68.9,1,1,1,1
2010-04-07,305283.64,0.892,3748306.49,50.23,4782.91,4627078.79,9810.47,2345161.34,28.0,47.2,0,1,1,1
2010-04-08,290553.83,0.93,5165643.69,49.88,4310.44,6096454.11,13021.4,2403328.34,32.2,90.0,1,1,1,1
2010-04-09,330025.57,0.899,3489166.18,50.39,4724.71,3155638.13,6138.77,1534727.93,30.0,71.8,0,1,0,0
2010-04-10,328827.06,0.865,3566724.62,49.67,3910.89,3718433.8,7546.78,2155937.43,26.9,70.0,0,0,0,0
2010-04-11,322923.15,0.923,4093438.03,50.17,4149.58,4715200.4,9134.38,1967007.62,25.9,83.1,0,0,1,0
2010-04-12,327896.77,0.936,4846721.22,50.15,3849.24,5968094.07,11228.91,2247558.34,30.4,79.9,0,0,1,0
2010-04-13,328286.43,0.818,3665522.06,49.97,3354.82,3761561.92,8087.62,2645485.07,28.9,67.0,0,0,0,0
2010-04-14,278212.17,0.88,3893668.65,49.7,4601.94,5131977.44,12105.12,2772878.24,27.3,50.5,1,1,1,1
2010-04-15,329193.57,0.843,4430917.47,50.19,4265.85,4874198.5,10144.49,3114319.42,26.2,75.6,0,1,1,0
2010-04-16,332020.25,0.807,3992855.14,49.72,4009.04,4788727.62,10317.86,3503587.77,28.2,60.4,0,0,1,0
2010-04-17,339430.93,0.9,3866158.46,50.35,3998.77,3871456.41,7314.49,1871938.61,27.1,82.4,0,0,0,0
2010-04-18,330872.89,0.929,4226253.16,49.69,3246.89,4730297.8,8880.89,1878216.82,30.4,62.2,0,0,1,0
2010-04-19,331287.75,0.824,4109007.2,49.77,3511.26,3976360.53,8405.49,2729680.68,31.7,65.5,0,0,0,0
2010-04-20,329627.77,0.922,4412175.51,49.95,4168.08,4778319.45,9078.72,2008636.55,23.9,56.6,0,0,0,0
2010-04-21,320406.14,0.928,4516587.56,50.38,3735.44,5180798.81,10059.65,2079873.67,24.3,57.4,0,0,1,0
2010-04-22,329867.43,0.937,4122801.22,49.94,3891.14,3796745.12,7090.91,1413619.54,32.0,68.9,0,0,0,0
2010-04-23,330301.15,0.84,4116693.09,49.99,3947.67,4106341.78,8546.97,2654657.42,28.5,68.0,0,0,0,0
2010-04-24,342316.21,0.936,4085644.39,50.29,3658.77,4680017.03,8436.7,1766176.8,24.6,65.2,0,0,1,0
2010-04-25,288744.14,0.848,4195652.22,50.21,3516.04,5860387.84,13816.75,3661187.63,30.9,90.5,0,0,1,1
2010-04-26,331507.74,0.883,4022068.26,49.76,3193.82,4639836.28,9152.95,2468272.91,29.0,76.0,0,0,1,0
2010-04-27,329826.44,0.808,3999756.61,49.92,3926.74,4539099.65,9838.76,3314851.13,34.6,70.1,0,0,1,0
2010-04-28,324156.61,0.807,4478650.85,50.27,4309.3,4549815.03,10046.84,3334434.93,27.3,42.4,0,0,0,0
2010-04-29,335714.11,0.908,4606446.47,50.01,3178.18,5849813.97,11078.97,2698278.22,31.3,78.3,0,0,1,0
2010-04-30,333759.67,0.867,3396978.82,50.39,3987.98,3613335.8,7212.06,2079927.77,23.7,99.9,1,0,0,0
2010-05-01,295123.18,0.838,4004008.46,49.75,4140.57,3716014.82,8670.41,2415407.3,32.2,68.1,1,0,0,1
2010-05-02,325453.06,0.829,3724522.23,49.87,3505.21,3805587.8,8147.94,2571609.88,30.8,61.9,0,0,0,0
2010-05-03,293856.72,0.9,3875611.41,49.91,4711.07,4482426.65,9779.95,2164675.21,32.8,71.6,0,0,1,1
2010-05-04,322990.74,0.8,4161006.48,49.83,3807.14,4699960.5,10500.76,3524233.18,31.3,55.7,0,1,1,0
2010-05-05,298190.8,0.921,4267775.35,49.61,3949.37,4805763.25,10104.22,2034422.65,27.7,74.6,1,1,1,1
2010-05-06,340952.28,0.812,3955149.42,50.9,3919.37,4587565.95,9568.24,3298838.09,24.5,85.0,0,0,1,0
2010-05-07,325047.32,0.829,3234663.87,50.2,3114.61,3576923.45,7666.42,2415588.76,26.2,63.3,0,0,1,0
2010-05-08,327168.51,0.858,3613981.77,50.17,4504.38,3433249.99,7061.85,2055933.04,22.7,63.6,0,0,0,0
2010-05-09,330498.26,0.873,4358599.87,49.88,3522.24,4515346.74,9038.2,2525889.16,25.2,69.2,0,0,0,0
2010-05-10,327482.62,0.853,2903829.43,50.31,3881.74,2823819.22,5834.61,1725909.52,29.3,65.0,0,0,0,0
2010-05-11,322246.68,0.848,4474970.86,50.22,4298.83,4781398.36,10100.79,2987012.47,27.9,54.9,0,0,0,0
2010-05-12,330342.81,0.945,4208492.0,50.38,4730.45,4090026.79,7567.61,1421353.14,27.3,66.1,0,0,0,0
2010-05-13,324688.48,0.896,4526470.43,50.37,3460.03,4786486.84,9496.56,2368981.59,25.6,64.1,0,0,0,0
2010-05-14,332367.96,0.804,3920572.33,49.7,3776.76,4009841.5,8668.69,2970693.76,22.7,83.7,0,0,0,0
2010-05-15,325402.88,0.865,3175437.83,49.78,4691.21,3285872.17,6743.58,1910222.85,28.5,81.6,0,0,0,0
2010-05-16,337749.67,0.931,4172145.06,49.8,4231.86,5236434.39,9611.99,2048898.27,29.1,84.0,0,0,1,0
2010-05-17,326083.73,0.845,4509861.25,49.81,4335.59,4572780.48,9579.03,2891311.7,25.0,78.0,0,0,0,0
2010-05-18,328389.69,0.814,4369888.72,50.06,3474.43,3743057.42,8082.66,2669236.25,26.4,72.1,0,0,0,0
2010-05-19,334067.59,0.914,3734923.41,49.89,3810.4,4301072.86,8134.87,1912270.59,32.6,61.3,0,0,1,0
2010-05-20,323845.68,0.891,4034704.43,50.41,3916.08,4643120.07,9291.4,2367133.27,31.5,83.3,0,0,1,0
2010-05-21,331137.3,0.886,3786865.49,50.38,3571.05,3226810.74,6353.21,1692756.27,23.5,73.5,0,0,0,0
2010-05-22,336535.71,0.808,3672293.41,50.0,3162.72,3598517.18,7640.13,2623647.91,27.7,57.5,0,0,0,0
2010-05-23,321962.58,0.821,4382155.43,50.39,3744.75,4792242.16,10466.22,3331621.05,32.4,60.9,0,0,0,0
2010-05-24,330923.17,0.893,3520987.08,50.3,4677.14,3881607.72,7580.3,1952126.0,27.4,57.4,0,0,1,0
2010-05-25,310744.46,0.831,3642473.43,49.65,4029.59,4347308.57,9717.73,2908129.26,27.2,49.5,0,0,1,1
2010-05-26,333909.11,0.876,3558389.75,49.6,4687.15,3742652.2,7390.6,2064579.8,31.3,73.9,0,0,0,0
2010-05-27,323815.25,0.882,3403900.99,49.96,4089.51,3254610.02,6581.19,1741302.83,31.0,57.6,0,0,0,0
2010-05-28,295882.43,0.843,4058565.72,50.04,3617.65,3754957.03,8696.45,2400671.64,30.8,62.4,0,1,0,1
2010-05-29,332609.71,0.942,4464601.22,50.04,4638.81,5602854.57,10321.46,1991201.26,27.2,70.4,0,0,1,0
2010-05-30,308512.49,0.926,3926049.3,50.14,4106.16,4357520.18,8802.82,1771550.13,30.0,68.1,0,1,1,1
2010-05-31,331252.46,0.908,3397700.88,50.01,4480.92,3627557.28,6960.47,1670089.84,32.5,62.9,0,0,0,0
2010-06-01,331732.24,0.812,4335977.82,50.1,3465.84,4483900.57,9614.19,3226488.88,27.9,85.2,0,0,0,0
2010-06-02,305514.48,0.816,4674280.7,49.38,4519.38,6671324.78,15451.56,4727341.27,26.8,54.7,0,0,1,1
2010-06-03,331161.27,0.874,3741503.07,50.08,4534.44,3971567.05,7923.03,2208994.98,31.7,55.2,0,0,0,0
2010-06-04,331465.36,0.824,3808578.29,49.91,4144.88,4057446.4,8575.72,2788808.01,34.1,74.6,0,0,0,0
2010-06-05,326428.24,0.947,4206264.25,50.04,3596.54,3308513.6,6180.93,1125272.1,34.3,63.7,0,0,0,0
2010-06-06,339328.87,0.824,4648749.5,50.19,3977.0,4493788.51,9281.56,3092562.12,26.9,63.3,0,0,0,0
2010-06-07,332369.16,0.873,3792066.34,49.76,4305.65,4264039.45,8483.32,2380818.54,27.2,59.2,0,0,1,0
2010-06-08,324043.48,0.855,3467020.09,49.94,4117.29,3867345.88,8062.63,2349758.54,24.9,73.4,0,0,1,0
2010-06-09,333282.77,0.896,4252567.44,49.98,4300.54,4060499.03,7851.32,2013415.43,28.4,72.3,0,0,0,0
2010-06-10,325126.59,0.819,4319627.23,49.9,4506.12,3853959.07,8352.6,2696534.26,24.8,71.2,0,0,0,0
2010-06-11,333935.42,0.865,4002452.58,50.18,3675.78,4253237.98,8505.65,2472356.72,26.4,64.2,0,0,0,0
2010-06-12,335792.98,0.841,3776746.7,49.86,3422.46,2867769.1,5861.51,1843361.39,30.1,62.5,0,0,0,0
2010-06-13,325896.59,0.933,4397751.49,49.89,3981.23,4112480.68,7807.39,1584127.19,29.2,68.4,0,0,0,0
2010-06-14,334816.88,0.806,4211214.4,49.86,3835.13,5163016.69,11044.68,3790470.23,22.6,79.7,0,0,1,0
2010-06-15,332063.9,0.937,3692625.79,50.22,4392.92,4410866.37,8184.17,1643594.72,32.7,85.7,0,0,1,0
2010-06-16,334110.3,0.925,4019637.89,49.9,3462.75,4416476.39,8251.02,1814870.28,24.7,81.1,0,0,0,0
2010-06-17,339483.96,0.845,3459316.99,50.09,4510.19,3738600.21,7527.66,2369576.2,25.1,75.1,0,0,0,0
2010-06-18,328773.06,0.918,4274356.18,50.4,4676.81,3654501.54,6987.83,1574455.08,24.3,79.8,0,1,0,0
2010-06-19,326231.32,0.805,3895106.57,49.99,4000.15,3801364.12,8360.44,2804701.26,26.0,58.2,0,0,0,0
2010-06-20,325552.43,0.945,3825715.67,50.22,4030.37,3904078.34,7326.41,1350826.8,25.3,62.9,0,0,0,0
2010-06-21,325920.95,0.879,3986850.21,50.33,3616.23,3899373.23,7858.48,2115365.34,25.4,75.2,1,0,0,0
2010-06-22,329614.49,0.845,4016123.08,50.21,3728.67,4076267.2,8444.74,2574449.83,20.6,68.8,0,0,0,0
2010-06-23,331705.76,0.854,4357972.02,50.0,3795.83,5142069.0,10475.37,3127394.17,28.4,73.4,0,0,1,0
2010-06-24,331383.45,0.81,4236436.21,50.13,4721.47,4218718.14,9074.55,3054728.99,28.7,79.8,0,0,0,0
2010-06-25,301682.48,0.948,3937436.29,49.71,3964.06,5112676.68,10316.8,1709265.95,34.7,78.2,1,1,1,1
2010-06-26,330065.01,0.806,4305467.26,49.84,3338.91,4839143.4,10503.42,3555138.27,29.5,59.1,0,0,1,0
2010-06-27,337267.67,0.898,4160294.9,49.88,4127.68,3777765.89,7199.61,1848487.85,26.5,70.1,1,0,0,0
2010-06-28,328676.72,0.866,3829360.15,50.45,4413.15,3699083.56,7499.65,2131868.46,24.4,60.8,0,0,0,0
2010-06-29,343600.85,0.942,3950112.74,49.84,3987.29,3856209.63,6876.05,1369504.68,27.7,62.2,0,0,0,0
2010-06-30,333128.34,0.837,3940710.84,49.83,4734.61,4159653.64,8614.13,2720529.3,29.3,52.9,0,0,0,0
2010-07-01,325714.21,0.88,4202104.54,49.79,4388.75,4267253.1,8597.27,2305388.1,26.5,71.3,0,0,0,0
2010-07-02,324645.54,0.872,3853190.95,50.11,3475.44,3925114.27,8001.84,2199673.98,28.2,52.2,0,0,0,0
2010-07-03,332412.36,0.905,3843836.33,50.03,3724.28,3780469.15,7251.92,1772409.63,33.7,73.9,0,0,0,0
2010-07-04,328882.69,0.81,4787502.92,50.22,4113.11,4514217.77,9781.1,3265872.73,26.8,83.6,0,0,0,0
2010-07-05,333570.0,0.829,4375894.19,50.13,3166.91,4861243.4,10148.68,3278560.54,22.3,75.3,0,0,1,0
2010-07-06,332366.19,0.832,3695759.73,49.72,4168.18,3755703.43,7839.6,2502487.57,30.6,70.5,0,0,0,0
2010-07-07,329635.86,0.911,4228376.4,49.84,3119.21,4701539.74,9041.88,2132178.44,28.9,85.3,0,0,1,0
2010-07-08,325766.03,0.828,4047340.03,50.27,4511.72,3799793.65,8129.59,2569584.78,22.9,73.3,0,0,0,0
2010-07-09,322425.76,0.886,4156620.47,49.96,4453.64,4087935.58,8261.68,2139140.98,29.3,61.4,0,0,0,0
2010-07-10,327767.43,0.832,4054936.53,50.24,4252.39,4167995.04,8821.2,2776098.82,25.0,71.3,0,1,0,0
2010-07-11,294889.62,0.929,4475857.06,49.67,3662.06,5333164.41,11236.61,2120465.95,29.3,89.6,1,0,1,1
2010-07-12,331070.47,0.941,4138248.14,49.81,4085.1,4657337.04,8628.11,1669791.83,33.7,59.1,0,0,1,0
2010-07-13,281915.69,0.878,3975164.52,49.94,3743.31,5054254.82,11792.19,2758531.82,27.5,56.2,0,1,1,1
2010-07-14,330865.9,0.853,4416876.23,49.81,3484.59,4967546.85,10163.86,3041420.24,31.2,76.1,0,0,1,0
2010-07-15,331926.59,0.835,4093314.02,49.89,3830.63,4451456.07,9271.64,2932168.41,24.3,67.8,0,1,0,0
2010-07-16,325580.71,0.807,4048591.43,50.04,4349.13,4207760.75,9240.74,3074070.34,23.4,64.7,0,0,0,0
2010-07-17,330768.63,0.84,4125609.04,50.1,4021.91,3939420.8,8183.25,2541784.47,34.1,57.4,1,0,0,0
2010-07-18,330291.04,0.898,3962556.39,49.68,4725.35,4460600.3,8681.49,2183870.16,28.9,50.5,0,0,1,0
2010-07-19,324285.15,0.88,4003690.8,50.0,4382.89,3832998.46,7754.38,2068390.09,29.9,55.4,0,0,0,0
2010-07-20,331788.94,0.942,3765322.16,49.88,4329.35,3945575.52,7291.53,1410928.57,31.5,86.1,0,1,0,0
2010-07-21,332803.92,0.859,3699533.11,49.87,3195.54,3864554.32,7800.71,2298808.21,26.4,69.9,0,0,0,0
2010-07-22,335415.26,0.904,3600571.85,50.03,3857.42,3706034.34,7056.01,1751866.75,30.5,50.4,0,0,0,0
2010-07-23,335269.01,0.873,3443206.69,49.89,3467.81,3481316.19,6864.0,1941179.62,30.0,81.8,0,0,0,0
2010-07-24,323111.65,0.877,3648113.06,50.28,3908.5,3530615.84,7194.39,1935437.14,24.1,82.3,0,0,0,0
2010-07-25,325310.87,0.84,3930293.19,50.24,3653.36,3491304.42,7375.02,2253644.67,32.5,82.3,1,0,0,0
2010-07-26,332575.18,0.868,4041247.03,50.24,3811.2,4810621.56,9618.55,2748933.36,31.9,65.8,0,0,1,0
2010-07-27,332568.93,0.871,3891481.37,49.9,4530.58,3894702.17,7766.13,2200779.9,24.1,67.3,0,1,0,0
2010-07-28,332575.24,0.906,3057718.6,49.81,4237.62,3171431.46,6076.85,1481706.54,28.6,71.4,0,0,0,0
2010-07-29,349263.66,0.941,4629834.54,50.02,4503.56,4799181.21,8429.84,1724364.7,27.3,84.0,0,0,0,0
2010-07-30,332854.45,0.849,4434592.05,49.97,3199.66,5142177.48,10500.76,3194964.51,32.3,64.5,0,0,1,0
2010-07-31,335677.83,0.806,4178303.94,49.88,4028.99,5194966.44,11081.2,3810654.23,23.8,62.5,0,0,1,0
2010-08-01,334770.01,0.874,4762996.27,49.76,4483.35,5077281.35,10013.64,2816784.56,38.8,77.0,0,0,0,0
2010-08-02,312405.05,0.882,3609054.35,50.46,4753.15,4426633.94,9278.75,2369127.75,27.5,82.1,1,0,1,1
